c_id,title,year,release,rating
3852,Palunku (2006),2006,22-12-2006,94
3853,Lakshmi (2006),2006,,81
3857,Athisayan (2007),2007,14-04-2007,75
3858,Paradesi (2007),2007,10-11-2007,88
3859,Kayyoppu (2007),2007,19-01-2007,96
3860,Smart City (2006),2006,15-12-2006,79
3861,Baba Kalyani (2006),2006,,91
3862,Aananda Bhairavi (2007),2007,16-02-2007,61
3863,Anchil Oraal Arjunan (2007),2007,19-01-2007,31
3864,Maayaavi (2007),2007,02-03-2007,88
3865,Big B - The Body Guard (2007),2007,14-04-2007,90
3867,Inspector Garud (2007),2007,27-01-2007,86
3868,Sketch (2007),2007,23-02-2007,30
3869,Changaathippoocha (2007),2007,02-02-2007,72
3870,Abraham & Lincoln (2007),2007,24-03-2007,75
3871,Happy Be Happy (2007),2007,03-02-2007,85
3872,Chotta Mumbai (2007),2007,04-07-2007,95
3873,Vinodayaathra (2007),2007,04-07-2007,96
3874,Paayum Puli (2007),2007,16-03-2007,71
3875,Panthayakkozhi (2007),2007,14-04-2007,88
3876,Boss I Love You (2006),2006,,84
3877,Sooryakireedam (2007),2007,05-11-2007,70
3879,Time (2007),2007,18-05-2007,75
3881,Goal (2007),2007,05-11-2007,91
3882,Pranayakaalam (2007),2007,06-08-2007,92
3883,Hallo (2007),2007,07-05-2007,83
3885,Arabikkadha (2007),2007,07-05-2007,96
3886,Black Cat (2007),2007,10-12-2007,85
3888,Nagaram (2007),2007,22-06-2007,48
3889,Kaakki (2007),2007,17-05-2007,84
3890,Bharathan Effect (2007),2007,29-06-2007,92
3891,Detective (2007),2007,16-02-2007,94
3894,Devadaas (2006),2006,,90
3895,July 4 (2007),2007,07-05-2007,70
3898,Mission 90 Days (2007),2007,07-12-2007,84
3899,Ore Kadal (2007),2007,26-08-2007,87
3900,Nivedyam (2007),2007,27-08-2007,87
3904,Heart Beats (2007),2007,08-03-2007,43
3905,Thaniye (2007),2007,27-07-2007,32
3906,Alibhai (2007),2007,15-08-2007,80
3907,"Bunny, The Lion (2007)",2007,27-07-2007,85
3908,Kichaamani MBA (2007),2007,25-08-2007,66
3909,Nadiya Kollappetta Rathri (2007),2007,27-07-2007,84
3910,Chocolate (2007),2007,10-12-2007,95
3912,Hero (2006),2006,,76
3913,Nasraani (2007),2007,10-12-2007,85
3914,Aayurrekha (2007),2007,11-08-2007,41
3916,Chathrapathi (2006),2006,,70
3921,Malleeswari The Princess (2004) (2007),2007,,70
3922,Rock N Roll (2007),2007,15-11-2007,80
3924,Hareendran Oru Nishkalankan (2007),2007,16-11-2007,30
3927,Naalu Pennungal (2007),2007,11-02-2007,77
3928,Romeo (2007),2007,14-12-2007,80
3929,Happy Days (2006),2006,,90
3930,Flash (2007),2007,22-12-2007,56
3932,Kangaroo (2007),2007,22-12-2007,88
3933,Kadha Parayumbol (2007),2007,20-12-2007,96
3934,Something Something (2006),2006,,91
3935,Thakarachenda (2007),2007,08-09-2007,71
3938,Before The Rains (2007),2007,,88
3939,Munna (2006),2006,,96
3944,Naayakan (1987) (2007),2007,,75
3946,Unni (2007),2007,,65
3947,Mozhi (2007),2007,,95
3950,Magic Lamp (2008),2008,,76
3954,College Kumaaran (2008),2008,02-02-2008,71
3956,Mizhikal Sakshi (2008),2008,20-06-2008,94
3957,Cycle (2008),2008,,86
3958,De Ingottu Nokkiye (2008),2008,,25
3959,Kerala Police (2008),2008,25-03-2008,55
3960,Sound of Boot (2008),2008,,81
3961,Of The People (2008),2008,01-04-2008,83
3962,Calcutta News (2008),2008,,89
3964,Mulla (2008),2008,27-03-2008,62
3966,The Target (2005) (2008),2008,,60
3967,My Mothers Laptop (2008),2008,,51
3968,Positive (2008),2008,,82
3969,Vilaapangalkkappuram (2008),2008,,45
3973,SMS (2008),2008,,60
3974,Robo (2008),2008,,17
3978,Gopaalapuraanam (2008),2008,,16
3979,Roudram (2008),2008,25-01-2008,89
3980,Adayaalangal (2008),2008,,72
3981,Malabar Wedding (2008),2008,20-03-2008,91
3982,Annan Thampi (2008),2008,,92
3983,Innathe Chinthavishayam (2008),2008,04-11-2008,87
3987,Paarthan Kanda Paralokam (2008),2008,,74
3988,Swarnnam (2008),2008,05-01-2008,51
3990,Shakespeare M.A Malayalam (2008),2008,,78
3991,Pachamarathanalil (2008),2008,05-09-2008,54
3992,Veruthe Oru Bhaarya (2008),2008,,89
3993,Minnaminnikkoottam (2008),2008,07-11-2008,91
3994,One Way Ticket (2008),2008,,78
3995,Maadambi (2008),2008,,90
3997,Kanichukulangarayil CBI (2008),2008,18-07-2008,30
3998,Parunthu (2008),2008,,68
3999,Kabadi Kabadi (2008),2008,,60
4000,Bullet (2008),2008,,79
4001,Thalappaavu (2008),2008,09-12-2008,94
4002,Twenty 20 (2008),2008,,93
4004,Kurukshethra (2008),2008,,93
4005,Gulmohar (2008),2008,10-07-2008,91
4006,Aayudham (2008),2008,,31
4007,Krishna (2008),2008,,83
